Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,model,brand,Car_Age
4,87615,3,1,0,14.53,1798.0,138.1,5.0,6.75,440,24,8
1,72000,1,0,2,11.18,2696.0,184.0,7.0,12.5,1401,14,7
8,35000,1,0,0,12.4,2698.0,179.5,5.0,11.5,98,0,10
3,55431,3,1,2,16.09,1598.0,103.5,5.0,6.98,1543,25,6
6,83816,3,1,2,14.0,1061.0,64.0,5.0,1.85,1635,15,11
7,50075,1,1,0,24.3,1248.0,88.5,5.0,8.63,1617,15,2
4,52000,3,1,0,18.15,1198.0,82.0,5.0,4.85,935,14,3
10,85000,1,0,0,11.74,2987.0,254.8,5.0,28.0,979,16,7
2,62000,1,1,0,22.07,1199.0,73.9,5.0,5.0,1138,25,7
4,90000,3,1,2,19.7,796.0,46.3,5.0,1.25,152,15,12
7,19698,3,1,0,25.4,624.0,37.5,4.0,1.53,1022,23,6
3,22033,1,1,0,25.32,1198.0,77.0,6.0,5.58,933,14,3
7,35487,3,1,0,18.5,1197.0,82.9,5.0,4.74,1856,8,6
1,46374,3,0,0,14.62,1999.0,149.92,5.0,8.85,581,8,6
9,52001,3,0,0,14.28,1798.0,138.03,5.0,10.11,441,24,4
0,58005,1,1,2,14.9,1991.0,112.2,5.0,4.25,582,8,12
1,70704,3,1,0,11.25,2694.0,163.7,7.0,10.95,887,24,8
6,75000,1,1,0,24.4,1120.0,71.0,5.0,3.85,1718,8,6
6,75800,1,1,2,16.55,2498.0,105.0,6.0,5.5,1514,14,8
7,13648,1,0,0,17.11,1968.0,174.33,5.0,21.43,81,0,5
4,52000,1,1,0,22.9,1248.0,74.0,5.0,4.25,1461,15,6
8,53000,1,1,0,17.8,1248.0,75.0,5.0,3.3,1470,15,6
4,65650,1,1,0,28.4,1248.0,74.0,5.0,3.85,1473,15,7
2,54000,3,1,3,18.9,1197.0,82.0,5.0,3.6,795,8,5
8,39000,3,1,0,15.04,1598.0,103.2,5.0,3.99,1544,25,5
7,16542,3,1,0,25.17,799.0,53.3,5.0,3.3,945,21,3
8,32000,3,1,0,20.36,1197.0,78.9,5.0,2.07,1781,8,10
5,121812,1,0,0,13.29,1995.0,147.6,5.0,7.75,1656,19,10
5,39300,3,1,0,18.2,998.0,67.1,5.0,2.25,1764,15,10
9,22000,1,1,0,13.68,2393.0,147.8,8.0,16.5,883,24,3
1,72000,1,1,0,20.0,1399.0,68.0,5.0,2.75,714,6,10
4,58000,3,0,0,11.74,1796.0,186.0,5.0,26.7,1041,16,5
10,65000,1,1,2,15.8,2148.0,170.0,5.0,10.0,1029,16,9
2,178000,1,1,0,25.0,1396.0,69.0,5.0,2.5,825,23,4
6,65664,1,0,0,16.55,1968.0,140.0,5.0,13.5,84,0,8
9,63000,3,0,2,16.4,1497.0,78.0,5.0,1.85,366,7,13
3,15369,1,0,0,16.4,1950.0,194.0,5.0,35.67,265,16,1
10,63000,1,1,0,24.52,1248.0,88.5,7.0,8.15,616,15,4
9,13000,1,1,0,22.1,1396.0,88.7,5.0,10.5,456,8,2
9,73000,3,0,0,8.5,4806.0,500.0,5.0,14.5,297,20,12
9,55729,1,1,0,15.1,2179.0,140.0,7.0,9.65,1715,14,5
7,45178,3,0,0,16.95,1197.0,78.9,5.0,3.48,1801,8,8
7,56066,1,1,0,19.64,1461.0,108.5,5.0,6.92,1510,19,5
3,37300,3,0,2,16.5,1198.0,86.8,5.0,6.46,264,7,4
4,56000,1,0,2,18.53,1968.0,187.74,5.0,29.5,97,0,6
6,111111,1,1,0,17.8,1399.0,187.74,5.0,2.0,669,6,12
2,230000,3,1,3,12.4,1998.0,132.0,8.0,4.5,853,24,14
5,104000,1,1,0,12.8,2494.0,102.0,7.0,11.75,876,24,8
5,87591,3,1,0,12.8,1086.0,102.0,5.0,1.3,1342,8,15
6,95100,1,1,0,22.9,1248.0,74.0,5.0,3.75,1473,15,8
10,70000,3,1,0,17.57,1193.0,88.7,5.0,4.5,1778,23,3
7,54944,3,1,0,18.0,1198.0,86.7,5.0,4.82,170,7,4
5,70337,1,1,0,20.0,1399.0,68.0,5.0,2.8,715,6,8
6,99638,1,1,0,23.2,1248.0,73.94,5.0,3.11,1231,15,7
4,52000,3,1,0,17.8,1497.0,117.3,5.0,3.25,382,7,11
4,75000,1,0,2,16.73,1995.0,218.0,5.0,13.9,28,1,9
10,95980,3,1,0,20.36,1197.0,78.9,5.0,2.25,1800,8,11
1,16000,3,1,0,18.9,1197.0,82.0,5.0,5.75,795,8,4
5,73745,3,1,0,17.0,1086.0,82.0,5.0,2.1,1346,8,13
9,18949,3,1,0,17.8,1198.0,86.7,5.0,5.0,170,7,4
4,107000,1,1,0,13.0,2982.0,168.5,7.0,16.5,732,24,6
3,48367,1,0,0,17.68,1968.0,174.33,5.0,39.58,104,0,2
4,57000,1,1,0,22.7,1498.0,89.84,5.0,5.5,568,6,7
4,58000,1,1,0,15.1,2179.0,140.0,7.0,8.1,1714,14,6
8,30000,1,1,0,25.8,1498.0,98.6,5.0,3.5,169,7,5
8,34212,1,1,0,22.07,1199.0,73.9,5.0,2.79,1137,25,7
0,70002,1,1,0,16.2,1493.0,110.0,5.0,3.45,1600,8,10
1,62000,3,1,0,18.9,998.0,67.1,5.0,4.45,1647,15,4
4,62001,3,1,0,15.26,1598.0,103.5,5.0,2.65,1146,25,10
10,78958,1,1,2,23.0,1396.0,90.0,5.0,3.8,1820,8,9
9,30180,3,1,0,18.5,1197.0,82.85,5.0,4.65,1844,8,6
10,32851,3,1,0,19.83,1198.0,67.0,7.0,3.95,760,4,3
8,30000,1,0,0,14.94,2967.0,241.4,5.0,9.8,88,0,10
10,66000,3,1,2,17.0,1197.0,80.0,5.0,2.7,1827,8,11
3,93850,3,1,0,14.0,796.0,35.0,5.0,2.41,1088,15,10
0,53000,3,1,0,17.71,1197.0,78.9,5.0,3.9,639,24,6
5,78000,1,0,2,14.74,2993.0,270.9,5.0,24.0,1694,11,9
4,65000,1,1,2,16.0,2179.0,140.0,7.0,5.75,1714,14,8
8,40000,1,0,0,22.32,1582.0,126.32,5.0,5.25,1578,8,6
9,30000,1,0,0,11.36,2755.0,171.5,7.0,19.25,890,24,3
3,38053,3,1,0,15.1,1196.0,73.0,5.0,3.91,575,15,3
1,25500,3,1,0,25.4,624.0,37.5,4.0,2.15,1026,23,6
9,56087,1,0,0,22.69,1995.0,190.0,5.0,20.75,10,1,5
4,71088,3,1,0,13.5,1799.0,130.0,5.0,3.35,401,7,10
0,55000,1,1,0,12.99,2494.0,100.6,7.0,11.11,872,24,6
1,32700,1,0,0,23.3,1984.0,150.0,5.0,20.0,1532,26,6
3,39882,3,0,0,19.15,1198.0,75.94,5.0,6.55,1005,19,4
9,128000,3,0,0,10.8,2497.0,215.0,5.0,7.0,34,1,11
9,55000,1,1,0,24.3,1248.0,88.5,5.0,7.5,1614,15,4
9,102000,3,1,2,17.0,1086.0,88.5,5.0,0.85,1345,8,15
10,53753,1,0,2,15.0,2143.0,107.3,5.0,16.75,203,16,6
8,10250,1,1,0,22.0,1582.0,126.2,5.0,10.95,1594,8,2
10,43874,3,1,0,18.9,998.0,67.1,5.0,2.45,1633,15,9
3,32684,3,0,0,21.9,624.0,37.48,4.0,3.23,1028,23,3
8,42000,1,1,0,12.05,2179.0,120.0,8.0,7.75,1380,14,6
8,28352,3,0,0,11.7,1796.0,178.0,5.0,9.35,1031,16,11
10,89900,0,1,0,26.6,998.0,58.16,5.0,3.25,1636,15,7
1,47700,3,1,2,10.8,2354.0,152.0,5.0,5.25,277,7,13
10,55000,1,0,0,21.21,1498.0,103.2,5.0,7.25,1538,25,5
7,44285,3,1,0,20.73,1373.0,91.1,5.0,7.47,336,15,3
6,54000,1,0,0,16.0,2179.0,140.0,7.0,13.25,1704,14,4
3,30232,3,1,0,21.1,1197.0,85.8,5.0,5.81,1233,15,4
5,88500,3,1,0,24.07,998.0,67.1,5.0,2.6,147,15,6
8,13372,3,0,0,19.0,2996.0,362.07,2.0,54.0,1292,16,3
7,12645,3,0,0,17.0,1591.0,121.3,5.0,11.5,1606,8,1
2,94385,3,1,2,19.7,796.0,46.3,5.0,1.6,154,15,10
3,31821,1,0,0,20.58,1995.0,143.0,5.0,17.22,0,1,5
9,12000,3,0,0,19.0,1199.0,88.7,5.0,6.0,895,7,5
4,88578,3,1,0,13.5,1799.0,130.0,5.0,3.95,401,7,8
7,44965,1,0,0,19.27,2143.0,170.0,5.0,17.95,1045,16,6
8,45044,1,1,0,25.8,1498.0,98.6,5.0,3.7,169,7,6
7,34204,3,1,0,22.0,1197.0,81.8,5.0,5.43,1478,15,4
7,80759,3,1,3,17.0,1086.0,81.8,5.0,1.67,1348,8,12
3,91235,1,1,0,11.5,2982.0,171.0,7.0,13.49,727,24,8
10,38800,3,1,0,18.6,1199.0,76.8,5.0,2.85,237,3,6
2,83000,1,1,0,21.14,1498.0,103.52,5.0,4.75,1200,22,7
7,41283,3,1,0,20.73,1373.0,91.1,5.0,9.9,325,15,2
9,23000,3,0,0,11.05,2894.0,444.0,4.0,37.0,1192,0,7
9,48000,1,0,0,21.76,1995.0,190.0,5.0,26.5,24,1,6
3,48214,1,0,0,17.11,1968.0,174.33,5.0,23.32,81,0,5
2,35000,1,1,0,22.9,1248.0,74.0,5.0,6.25,1473,15,4
8,35277,3,0,0,7.81,5461.0,362.9,5.0,30.0,1273,16,10
3,54620,1,0,0,21.66,1498.0,103.52,5.0,9.86,1196,22,4
10,136997,1,0,0,17.2,1968.0,138.1,5.0,8.5,1427,22,8
7,14322,3,1,0,21.1,814.0,55.2,5.0,4.23,544,8,1
6,65634,1,1,0,22.07,1199.0,73.9,5.0,3.5,1138,25,8
8,6000,3,1,0,20.63,1198.0,67.06,5.0,2.5,757,4,4
8,33280,3,1,0,19.4,1198.0,86.8,5.0,2.39,259,7,7
4,29000,3,0,0,14.8,1595.0,120.7,5.0,11.25,202,16,7
7,42831,1,1,0,26.0,1498.0,98.6,5.0,7.11,372,7,5
0,90000,1,1,0,12.99,2494.0,100.6,7.0,10.9,856,24,4
0,24005,3,1,0,20.4,1197.0,81.8,5.0,6.2,1483,15,3
9,32792,1,1,0,15.1,2179.0,140.0,7.0,7.9,1714,14,8
7,147898,1,1,0,22.7,1498.0,89.84,5.0,4.42,566,6,6
9,131765,1,1,0,13.0,2982.0,168.5,7.0,13.5,732,24,8
2,65000,1,0,0,21.5,1498.0,108.5,5.0,6.25,1536,25,7
6,66123,1,1,2,20.0,1399.0,68.0,5.0,2.1,714,6,10
9,41000,1,0,0,15.3,2993.0,258.0,5.0,45.0,1677,1,5
3,23550,1,0,0,19.27,2143.0,167.62,5.0,33.66,1050,16,3
1,45000,3,1,2,19.4,1198.0,86.8,5.0,3.65,262,7,8
4,60000,3,1,0,20.36,1197.0,78.9,5.0,2.75,1792,8,7
1,44414,1,0,0,17.9,2143.0,170.0,5.0,42.5,748,16,4
8,1000,3,1,0,18.9,1197.0,81.86,5.0,6.5,775,8,1
9,62500,1,0,2,17.68,1968.0,174.33,5.0,19.0,101,0,8
9,21000,3,0,2,14.4,1598.0,103.6,5.0,4.45,1555,25,7
6,8525,1,0,2,16.6,1998.0,112.0,5.0,23.0,453,17,3
1,29000,1,1,0,22.54,1396.0,88.73,5.0,8.35,1845,8,6
9,40000,1,0,0,17.68,1968.0,174.33,5.0,22.95,101,0,6
6,88000,1,1,0,25.44,936.0,57.6,5.0,1.5,233,3,8
7,53537,3,0,0,13.7,1798.0,157.75,5.0,6.89,1425,22,8
2,216000,1,1,2,17.8,1399.0,68.0,5.0,1.45,672,6,14
5,51000,1,0,0,22.48,1995.0,190.0,5.0,33.5,40,1,6
6,118500,3,1,0,12.9,1598.0,102.5,5.0,1.25,1099,3,13
5,63000,1,1,0,22.07,1199.0,73.9,5.0,4.2,1137,25,8
9,25000,1,1,0,19.98,1461.0,108.5,8.0,6.75,973,21,5
1,37382,1,0,0,13.0,2143.0,201.1,5.0,32.0,529,16,6
7,24773,3,1,0,21.4,1197.0,83.1,5.0,7.5,208,15,3
4,62000,1,1,0,22.32,1582.0,126.32,5.0,4.6,1577,8,8
7,52340,3,1,0,19.81,1086.0,68.05,5.0,4.04,1789,8,3
7,56739,1,1,0,15.4,1997.0,120.0,7.0,10.31,1354,14,4
3,36091,1,0,0,12.7,2179.0,187.7,5.0,55.76,1253,13,2
2,120000,1,1,0,20.0,1399.0,68.0,5.0,2.6,715,6,10
9,33000,1,1,0,25.47,1248.0,88.5,7.0,8.5,623,15,4
8,52000,1,1,0,25.8,1498.0,98.6,5.0,3.5,166,7,6
6,43571,3,1,0,20.36,1197.0,78.9,5.0,3.55,1788,8,5
8,50000,1,1,0,25.8,1498.0,98.6,5.0,3.25,166,7,7
5,113000,1,1,0,17.5,1896.0,106.0,5.0,4.5,954,22,12
4,90000,1,1,0,19.87,1461.0,83.8,5.0,5.35,484,21,6
2,29000,1,1,2,17.45,1493.0,100.0,7.0,6.5,1068,14,3
9,20000,1,1,0,24.3,1248.0,88.5,5.0,9.0,1619,15,4
7,61012,3,1,0,18.6,1197.0,81.83,5.0,6.0,1847,8,4
6,87459,3,1,0,14.7,1390.0,85.0,5.0,2.75,661,22,11
10,70500,3,1,0,15.64,1193.0,64.1,5.0,1.5,847,23,10
4,64103,1,0,0,15.73,1968.0,174.33,5.0,19.9,1159,0,5
9,76000,3,0,0,14.7,1798.0,177.5,5.0,10.0,1079,22,6
4,104000,1,1,0,23.59,1364.0,67.06,5.0,3.0,645,24,6
7,37245,3,0,0,14.8,1595.0,120.7,5.0,11.96,202,16,6
8,45000,1,1,0,27.4,1498.0,98.6,5.0,3.25,163,7,7
6,117837,1,1,2,22.32,1582.0,126.32,5.0,4.75,1577,8,8
9,30000,1,1,0,20.46,1461.0,83.8,5.0,5.95,487,21,6
4,27057,3,1,2,15.29,1591.0,121.3,5.0,8.15,469,8,5
9,8500,3,0,0,20.51,998.0,67.0,5.0,4.22,1622,15,4
8,30500,3,0,0,11.74,1796.0,186.0,5.0,10.5,1056,16,10
4,56000,1,0,0,11.8,2967.0,246.7,5.0,45.0,112,0,8
10,44000,3,1,2,19.81,1086.0,68.05,5.0,2.9,1789,8,8
9,10500,3,0,0,14.3,1598.0,103.52,5.0,8.9,1208,22,3
5,26000,3,0,0,14.67,1798.0,177.46,5.0,26.0,1430,22,3
3,25166,3,1,0,17.19,1197.0,81.86,5.0,8.22,1834,8,2
8,64000,1,1,2,25.8,1498.0,98.6,5.0,3.5,177,7,6
2,61000,3,1,2,18.9,998.0,67.1,5.0,1.25,1632,15,16
5,107000,1,1,0,21.03,1461.0,65.0,5.0,3.7,1560,14,7
3,29161,1,0,0,19.27,2143.0,167.62,5.0,39.41,1052,16,2
8,32000,3,1,0,22.5,998.0,67.04,5.0,2.65,1643,15,7
3,46173,1,1,2,19.01,1461.0,108.5,5.0,8.92,1512,19,5
4,47000,1,1,0,17.8,1248.0,108.5,5.0,4.1,1474,15,7
7,26327,3,0,0,16.82,1998.0,189.08,4.0,35.67,419,17,3
6,200000,1,1,2,17.2,1396.0,53.5,5.0,0.85,821,23,13
7,60813,3,1,2,18.6,1199.0,76.8,5.0,3.32,236,3,4
9,45000,1,1,0,22.07,1199.0,73.9,5.0,3.6,1136,25,8
5,64000,1,1,0,22.9,1248.0,74.0,5.0,6.8,1487,15,4
8,41284,1,1,0,20.0,1399.0,68.05,5.0,2.5,711,6,8
7,14165,1,0,0,11.36,2755.0,171.5,7.0,19.64,888,24,1
9,67000,1,0,2,11.72,2199.0,194.3,7.0,7.0,1323,8,9
8,32572,3,1,0,17.4,1497.0,117.3,5.0,3.87,394,7,9
7,14960,3,1,0,18.6,1197.0,81.83,5.0,6.27,1809,8,2
7,55980,1,0,0,19.27,2143.0,167.62,5.0,18.12,1052,16,5
9,74000,1,1,0,25.44,936.0,57.6,5.0,2.65,233,3,7
7,56847,1,1,0,22.54,1396.0,88.73,5.0,7.2,1859,8,5
3,121374,1,1,0,12.99,2494.0,100.6,7.0,14.3,877,24,5
2,52000,1,1,0,20.77,1248.0,88.76,7.0,6.9,618,15,7
9,118000,1,1,0,12.8,2494.0,102.0,7.0,10.75,870,24,6
9,72000,3,1,3,17.0,1086.0,102.0,5.0,0.95,1348,8,13
7,33915,3,1,0,17.8,1497.0,117.3,5.0,8.09,385,7,4
0,82002,1,0,0,17.05,1995.0,184.0,5.0,18.5,1663,1,6
9,33000,1,1,0,24.0,1120.0,70.0,5.0,4.75,786,8,3
2,34000,1,1,0,28.09,1248.0,88.5,5.0,8.45,322,15,4
8,55000,1,1,0,20.5,1598.0,103.6,5.0,3.5,1220,22,8
7,160538,1,1,0,13.1,1493.0,82.0,5.0,1.8,113,8,14
6,60000,1,1,2,19.91,1498.0,103.6,5.0,3.7,1139,25,6
3,49575,3,1,0,18.7,1199.0,88.7,5.0,7.17,897,7,3
6,83000,3,1,0,19.81,1086.0,68.05,5.0,1.75,1785,8,10
7,51346,1,0,0,16.38,1995.0,183.0,5.0,21.99,1530,8,2
10,43000,1,1,0,13.68,2393.0,147.8,7.0,18.65,886,24,3
6,35000,3,1,3,19.7,796.0,35.0,5.0,1.85,1093,15,9
3,27872,3,1,2,20.4,1197.0,81.8,5.0,5.95,1482,15,3
9,16514,3,1,0,18.9,1197.0,82.0,5.0,3.75,792,8,6
10,120000,1,1,0,22.9,1248.0,74.0,5.0,3.75,1473,15,8
5,143275,1,1,0,22.0,1582.0,126.2,5.0,2.6,1593,8,12
5,99000,3,1,0,22.0,1086.0,126.2,5.0,1.75,1342,8,14
9,52000,3,1,0,17.0,1197.0,80.0,5.0,2.8,1810,8,10
3,29819,1,0,0,11.57,2987.0,254.79,5.0,61.29,754,16,3
1,57000,1,1,2,15.8,2148.0,170.0,5.0,18.0,1047,16,6
5,88500,1,1,0,23.2,1248.0,73.94,5.0,4.35,1235,15,6
1,28000,1,1,0,19.67,1582.0,126.2,5.0,13.75,458,8,4
10,67000,3,1,0,19.0,998.0,66.1,5.0,2.0,73,15,10
4,26000,1,1,0,19.64,1461.0,108.45,5.0,10.0,474,21,4
4,120000,1,1,0,17.8,1248.0,76.0,5.0,1.65,798,5,10
3,51982,1,0,0,16.55,2993.0,258.0,5.0,45.77,1673,1,3
1,36000,3,1,2,20.36,1197.0,78.9,5.0,3.25,1798,8,10
10,47000,1,1,0,12.8,2494.0,102.0,7.0,12.8,861,24,4
9,60000,3,1,3,17.3,993.0,60.0,5.0,0.55,1771,15,18
5,31025,1,1,0,28.4,1248.0,74.0,5.0,7.15,1473,15,2
10,105000,1,1,2,12.05,2179.0,120.0,8.0,7.0,1381,14,7
10,121900,1,1,0,22.95,1248.0,74.0,5.0,3.75,1774,23,3
9,22695,3,1,0,18.88,999.0,123.24,5.0,8.5,546,6,3
6,73000,1,1,0,23.4,1248.0,74.0,5.0,4.35,1457,15,8
7,32227,3,1,0,22.74,796.0,47.3,5.0,3.26,138,15,4
6,55000,3,1,0,17.0,1497.0,118.0,5.0,4.21,354,7,9
7,11287,1,0,0,12.07,2967.0,241.4,7.0,70.36,1174,0,2
9,48000,1,0,2,17.0,1896.0,105.0,5.0,2.95,951,22,11
7,54308,3,1,0,17.1,1591.0,121.3,5.0,4.28,1581,8,8
6,78442,3,0,0,16.8,1497.0,118.0,5.0,3.57,355,7,11
8,46000,1,1,0,21.9,1396.0,88.8,5.0,3.11,1857,8,7
3,45051,3,0,0,15.0,1396.0,98.6,5.0,5.96,1860,8,6
5,69000,1,1,0,20.54,1598.0,103.6,5.0,4.7,1547,25,9
0,49000,3,1,0,17.4,1497.0,117.3,5.0,6.9,386,7,6
10,45000,1,1,0,22.95,1248.0,74.0,5.0,5.25,1774,23,2
10,64000,1,0,0,18.48,1995.0,177.0,5.0,28.0,26,1,5
4,60000,3,1,0,18.9,1061.0,67.0,5.0,1.35,1639,15,11
4,62178,3,1,0,18.2,1199.0,88.7,5.0,4.85,909,7,5
3,58006,1,1,0,15.0,1896.0,105.0,5.0,6.7,916,25,8
5,74000,3,1,0,20.36,1197.0,78.9,5.0,3.1,1792,8,10
7,77771,1,0,0,19.27,2143.0,170.0,5.0,18.64,1045,16,5
10,45275,3,1,0,20.36,1197.0,78.9,5.0,2.8,1793,8,8
2,48000,1,1,0,13.68,2393.0,147.8,7.0,20.25,886,24,4
7,31652,1,0,0,17.68,1968.0,174.33,5.0,26.78,102,0,5
5,109000,1,1,2,12.99,2494.0,100.6,7.0,8.26,872,24,10
9,31978,3,1,0,16.47,1198.0,73.9,5.0,3.89,1147,25,5
5,70000,3,1,0,20.92,998.0,67.1,5.0,2.1,143,15,9
9,15000,3,0,0,18.0,1497.0,117.3,5.0,12.69,392,7,3
3,59138,1,1,0,17.0,1405.0,70.0,5.0,2.58,842,23,7
7,61726,1,0,0,17.68,1968.0,174.33,5.0,20.77,101,0,6
4,48000,1,0,0,17.9,2143.0,136.0,5.0,20.26,743,16,5
2,58000,3,1,2,17.9,1086.0,136.0,5.0,1.5,1342,8,14
8,60020,1,1,0,17.8,1248.0,136.0,5.0,2.5,1474,15,9
5,77815,3,0,0,23.1,998.0,67.04,5.0,4.25,311,15,6
5,29000,1,0,0,17.9,2143.0,201.15,5.0,57.0,753,16,3
4,44000,1,0,0,12.7,2179.0,187.7,5.0,44.0,1262,13,3
5,108626,1,1,0,20.54,1598.0,103.6,5.0,3.65,1548,25,9
5,71791,3,1,0,14.0,796.0,35.0,5.0,2.05,1090,15,8
7,91931,3,1,0,18.5,1198.0,86.8,5.0,3.13,256,7,8
5,158000,1,1,2,14.07,2956.0,83.1,7.0,1.5,1403,23,20
10,91183,1,1,0,18.0,1248.0,75.0,5.0,2.85,828,23,8
4,65000,3,1,0,18.9,998.0,67.1,5.0,2.65,1633,15,8
5,88428,1,1,0,16.0,2179.0,140.0,7.0,10.6,1715,14,5
10,138000,1,1,2,17.1,1396.0,70.0,5.0,1.25,841,23,12
9,18000,3,1,0,16.02,1373.0,93.7,7.0,8.25,615,15,2
9,60000,3,0,0,11.7,2354.0,177.6,5.0,4.45,120,7,9
8,48000,1,1,0,19.3,1248.0,73.9,5.0,3.7,1451,15,8
5,160000,1,1,0,17.8,1399.0,68.0,5.0,2.8,687,6,11
8,40000,3,1,0,17.7,1497.0,78.0,5.0,1.8,368,7,12
7,51495,1,0,0,17.68,1968.0,174.33,5.0,21.95,101,0,6
9,30000,1,0,0,9.52,2993.0,313.0,4.0,49.0,50,1,9
3,97430,1,0,0,14.75,2967.0,245.0,7.0,62.67,1181,0,3
10,42496,0,1,0,26.3,998.0,67.1,5.0,1.4,1763,15,12
10,83000,1,1,0,23.0,1396.0,90.0,5.0,5.5,1818,8,8
1,37000,3,0,3,16.95,1197.0,78.9,5.0,2.95,1802,8,11
7,28503,3,0,0,19.0,1199.0,88.7,5.0,6.86,895,7,4
5,76496,1,1,0,25.2,1248.0,74.0,5.0,6.15,1474,15,5
10,79152,3,1,2,18.5,1197.0,82.85,5.0,3.3,1844,8,9
8,32000,3,1,0,16.47,1198.0,73.9,5.0,2.55,1144,25,9
0,35000,3,1,0,19.7,796.0,46.3,5.0,1.5,152,15,11
2,105000,3,0,2,11.3,1794.0,125.0,5.0,2.5,451,24,16
2,56000,3,1,2,19.7,796.0,46.3,5.0,1.4,152,15,14
10,73000,1,1,0,21.12,1248.0,88.8,5.0,3.4,992,23,8
10,38000,3,1,0,19.7,796.0,46.3,5.0,2.25,152,15,8
8,80000,3,0,0,11.3,1794.0,125.0,5.0,2.8,451,24,12
3,24973,3,1,0,18.6,1197.0,81.83,5.0,7.66,1847,8,4
2,45000,1,1,0,24.3,1248.0,88.5,5.0,7.15,1612,15,4
4,87430,3,1,0,17.0,1497.0,118.0,5.0,3.5,358,7,10
5,133944,1,1,2,18.0,1248.0,75.0,5.0,3.5,827,23,6
8,57000,1,1,0,25.8,1498.0,98.6,5.0,3.45,166,7,7
3,27904,3,1,0,21.1,814.0,55.2,5.0,3.55,538,8,4
7,30717,1,0,2,21.76,1995.0,190.0,5.0,25.99,24,1,5
1,80000,1,1,0,22.32,1582.0,126.32,5.0,5.25,1577,8,8
0,47304,1,1,0,21.02,1248.0,88.8,5.0,2.9,990,23,7
6,100000,3,0,0,14.45,1984.0,227.0,5.0,2.05,1083,22,15
10,30000,3,1,0,24.07,998.0,67.1,5.0,3.75,147,15,3
9,68000,1,1,0,22.7,1498.0,89.84,5.0,6.75,568,6,6
8,21000,3,1,2,18.0,995.0,62.0,5.0,0.95,1398,3,9
5,21000,1,0,0,19.33,1999.0,177.0,5.0,52.0,1691,11,3
6,119000,3,1,3,13.1,1997.0,141.1,5.0,3.91,283,7,13
7,13747,3,0,0,14.67,1798.0,177.46,5.0,27.3,1428,22,1
2,620000,3,1,0,20.36,1197.0,78.9,5.0,2.7,1792,8,11
4,70000,1,1,0,22.9,1248.0,74.0,5.0,3.5,1461,15,7
9,18000,3,0,0,18.5,1197.0,83.14,5.0,6.2,1455,15,4
2,83000,1,1,0,23.08,1461.0,63.1,5.0,2.75,998,19,9
9,130000,1,1,0,23.4,1248.0,74.0,5.0,3.25,1448,15,5
10,63400,1,1,0,17.8,1399.0,67.0,5.0,3.25,682,6,8
8,65000,3,1,0,17.3,993.0,60.0,5.0,0.65,1765,15,17
